completed_date,cycle_time,blocked_days,key,url,issue_type,summary,status,resolution,Backlog,Committed,Elaboration,Build,QA,Done
2019-10-30,0.0,0,FAB-24226,https://immediateco.atlassian.net/browse/FAB-24226,Bug (subtask),Edge / IE11 - Search bar has 2 dismiss icons,Ready For Release,Done,,,,2019-10-30,2019-10-30,2019-10-30
2019-10-31,1.0,0,FAB-24224,https://immediateco.atlassian.net/browse/FAB-24224,Bug (subtask),IE11 - Search icon doesn't switch to an X when search bar opens,Closed,Done,,,,2019-10-30,2019-10-31,2019-10-31
2019-11-26,27.0,0,FAB-24220,https://immediateco.atlassian.net/browse/FAB-24220,Story,Create 'Header' settings Resource,Complete,Done,2019-10-30,2019-10-30,2019-11-12,2019-11-20,2019-11-25,2019-11-26
2019-12-06,29.0,0,FAB-24213,https://immediateco.atlassian.net/browse/FAB-24213,Story,Glossary A-Z navigation in AMP,Ready For Release,Done,2019-10-30,2019-11-07,2019-11-12,2019-12-02,2019-12-04,2019-12-06
2019-10-30,5.0,0,FAB-24177,https://immediateco.atlassian.net/browse/FAB-24177,Bug (subtask),Incorrect border radius on search box,Ready For Release,Done,,,,2019-10-25,2019-10-25,2019-10-30
2019-10-25,0.0,0,FAB-24174,https://immediateco.atlassian.net/browse/FAB-24174,Bug (subtask),Placeholder text not aligned vertically,Closed,Done,,,,2019-10-25,,2019-10-25
2019-11-21,28.0,0,FAB-24153,https://immediateco.atlassian.net/browse/FAB-24153,Sub-Task,Incentives ??,Closed,Done,,,2019-10-24,,,2019-11-21
2019-11-18,24.0,0,FAB-24133,https://immediateco.atlassian.net/browse/FAB-24133,Dev Task,Postman - Refactor all Content-API tests to be under a single collection,Ready For Release,Done,2019-10-25,2019-10-25,2019-11-07,2019-11-18,2019-11-18,2019-11-18
2019-11-20,28.0,0,FAB-24124,https://immediateco.atlassian.net/browse/FAB-24124,Story,Style Glossary navigation,Complete,Done,2019-10-23,2019-10-23,2019-11-04,2019-11-05,2019-11-06,2019-11-20
2019-11-14,22.0,0,FAB-24123,https://immediateco.atlassian.net/browse/FAB-24123,Dev Task,Swap free Ninja Tables version for Pro version,Complete,Done,2019-10-23,2019-10-23,2019-10-23,2019-10-24,2019-11-07,2019-11-14
2019-11-08,16.0,0,FAB-24103,https://immediateco.atlassian.net/browse/FAB-24103,Story,Make pronunciation a required field,Complete,Done,2019-10-23,2019-10-23,2019-11-04,2019-11-07,2019-11-07,2019-11-08
