ID,Link,Name,Backlog,Committed,Elaboration,Build,QA,Done,Type,Status,Resolution,Blocked Days
FAB-20772,https://immediateco.atlassian.net/browse/FAB-20772,IA: User/member recipes & collections,,,2019-05-16,,,2019-08-01,Discovery Elaboration,Closed,Done,0
FAB-20751,https://immediateco.atlassian.net/browse/FAB-20751,Update Contract for Good Food Recipe,2019-05-16,2019-05-16,2019-05-16,2019-06-06,2019-06-20,2019-06-26,Story,Complete,Done,0
FAB-20750,https://immediateco.atlassian.net/browse/FAB-20750,Spike:Adapt search weighting for Recipes,2019-05-14,2019-07-18,2019-07-18,2019-08-01,2019-08-05,2019-08-05,Spike,Complete,Done,0
FAB-20745,https://immediateco.atlassian.net/browse/FAB-20745,"User Collections : Agree expected contract, functionality & infrastructure requirements",2019-05-16,2019-05-16,2019-05-16,2019-06-10,2019-06-11,2019-06-11,Spike,Complete,Done,0
FAB-20716,https://immediateco.atlassian.net/browse/FAB-20716,Create a theme provider package,2019-06-27,2019-06-27,2019-06-27,2019-07-15,2019-07-31,2019-08-01,Story,Complete,Done,0
FAB-20669,https://immediateco.atlassian.net/browse/FAB-20669,Blacklisted tags should not show up on search ,2019-05-10,2019-05-10,2019-05-29,,,,Story,Ready For Development,,0
FAB-20668,https://immediateco.atlassian.net/browse/FAB-20668,Good food synonym config file to be uploaded,2019-05-09,2019-05-09,2019-05-29,2019-06-05,2019-06-20,2019-06-20,Story,Complete,Done,0
FAB-20641,https://immediateco.atlassian.net/browse/FAB-20641,Good food Search tabs to be configured,2019-05-08,2019-10-11,2019-11-15,2019-11-25,2019-11-25,,Story,Reviewed,,0
FAB-20611,https://immediateco.atlassian.net/browse/FAB-20611,Recipe : Embeds & Widgets,,2019-06-12,2019-07-03,2019-07-03,,2019-08-15,Epic,Complete,Done,0
FAB-20551,https://immediateco.atlassian.net/browse/FAB-20551,Embed/Widget : Process Highlight/Tip embeds in content blocks,2019-06-05,2019-06-05,2019-06-05,2019-07-30,2019-08-07,2019-08-15,Story,Complete,Done,0
FAB-20550,https://immediateco.atlassian.net/browse/FAB-20550,Embed/Widget : Process Image short codes in content blocks,2019-06-05,2019-06-05,2019-06-05,2019-07-03,2019-07-15,2019-07-25,Story,Complete,Done,0
FAB-20549,https://immediateco.atlassian.net/browse/FAB-20549,Recipe Add-Ons : Onward Journeys,,2019-05-01,,,,2019-10-31,Epic,Closed,Done,0
FAB-20548,https://immediateco.atlassian.net/browse/FAB-20548,Components : Editorial Recipe,2019-05-31,2019-06-17,2019-06-17,2019-07-01,2019-07-10,2019-07-17,Story,Complete,Done,0
FAB-20547,https://immediateco.atlassian.net/browse/FAB-20547,Components : Masthead,2019-05-31,2019-06-17,2019-06-17,2019-07-01,2019-07-01,2019-07-15,Story,Complete,Done,0
FAB-20546,https://immediateco.atlassian.net/browse/FAB-20546,Components : Social share component,2019-05-09,2019-05-09,2019-06-05,2019-06-17,2019-06-19,2019-06-24,Story,Complete,Done,0
FAB-20545,https://immediateco.atlassian.net/browse/FAB-20545,Components : Editor content,2019-05-09,2019-05-09,2019-05-09,2019-05-24,2019-05-31,2019-06-07,Story,Complete,Done,1
FAB-20544,https://immediateco.atlassian.net/browse/FAB-20544,Components : Breadcrumb,2019-05-31,2019-05-31,2019-06-11,2019-07-16,2019-07-18,2019-07-24,Story,Complete,Done,0
FAB-20543,https://immediateco.atlassian.net/browse/FAB-20543,Components : Grouped list,2019-05-09,2019-05-09,2019-05-09,2019-05-21,2019-05-30,2019-05-31,Story,Complete,Done,0
FAB-20542,https://immediateco.atlassian.net/browse/FAB-20542,Components : Horizontal list ,2019-05-07,2019-05-07,2019-05-07,2019-05-07,2019-05-07,2019-05-08,Story,Complete,Done,0
FAB-20541,https://immediateco.atlassian.net/browse/FAB-20541,Components : Highlight top tip,2019-05-14,2019-05-14,2019-05-14,2019-05-28,2019-05-30,2019-06-05,Story,Complete,Done,0
FAB-20539,https://immediateco.atlassian.net/browse/FAB-20539,Components : Ratings,2019-05-31,2019-06-17,2019-06-17,2019-06-17,2019-06-24,2019-06-26,Story,Complete,Done,0
FAB-20538,https://immediateco.atlassian.net/browse/FAB-20538,Components : whisk Shopping tools component,2019-05-09,2019-05-09,,,,,Story,Ready For Shaping,,0
FAB-20537,https://immediateco.atlassian.net/browse/FAB-20537,Components : Roundel,2019-05-31,2019-05-31,,,,2019-06-17,Story,Closed,Done,0
FAB-20536,https://immediateco.atlassian.net/browse/FAB-20536,Components : Tag,2019-05-07,2019-05-07,2019-05-07,2019-05-09,2019-05-14,2019-05-17,Story,Complete,Done,0
